,Issuer Name,Security Id,Security Name,Industry,Sector Name,Industry,Igroup Name,Sector,,Index
,NXTDIGITAL LIMITED,NXTDIGITAL,Nxtdigital Ltd,TV Broadcasting & Software Production,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production,,
,HMT Limited,HMT,HMT LTD.,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,,
,Prag Bosimi Synthetics Ltd.,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,HLV LIMITED,HLVLTD,HLV Ltd,Hotels & Resorts,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,
,IG Petrochemicals Ltd,IGPL,I G PETROCHEMICALS LTD.,Commodity Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,
,India Glycols Ltd,INDIAGLYCO,INDIA GLYCOLS LTD.,Commodity Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,
,"India Lease Devl. Ltd.,",INDLEASE,INDIA LEASE DEVELOPMENT LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,Margo Finance Limited,MARGOFIN,Margo Finance Limited,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,"Indo Rama Synthetics (India) Ltd.,",INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Infosys Ltd,INFY,INFOSYS LTD.,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,,
,Ingersoll-Rand (India) Ltd.,INGERRAND,INGERSOLL-RAND (INDIA) LTD.,Compressors- Pumps & Diesel Engines,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines",,
,International Travel House Ltd,ITHL,INTERNATIONAL TRAVEL HOUSE LTD.-$,Tour- Travel Related Services,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services",,
,Ion Exchange (India) Ltd,IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,Civil Construction,Industrials,Construction,Construction,Civil Construction,,
,Agro Tech Foods Ltd,ATFL,AGRO TECH FOODS LTD.,Edible Oil,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,
,"Jain Irrigation Systems Ltd.,",JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,Plastic Products - Industrial,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,
,Jasch Industries Ltd.,JASCH,JASCH INDUSTRIES LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,JCT Ltd,JCTLTD,JCT LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Jindal Poly Films Ltd.,JINDALPOLY,JINDAL POLY FILMS LTD.,Packaging,Industrials,Capital Goods,Industrial Products,Packaging,,
,JSW Steel Limited,JSWSTEEL,JSW STEEL LTD.,Iron & Steel,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,,
,Umang Dairies Limited,UMANGDAIR,UMANG DAIRIES LTD.,Dairy Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products,,
,Kajaria Ceramics Ltd,KAJARIACER,KAJARIA CERAMICS LTD.,Ceramics,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,,
